,Indicator Name
746,"2005 PPP conversion factor, GDP (LCU per international $)"
743,"2005 PPP conversion factor, private consumption (LCU per international $)"
1510,ARI treatment (% of children under 5 taken to a health provider)
1239,Access to clean fuels and technologies for cooking  (% of population)
1235,Access to electricity (% of population)
1237,"Access to electricity, rural (% of rural population)"
1236,"Access to electricity, urban (% of urban population)"
785,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)
791,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)"
790,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)"
789,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)"
793,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)"
788,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)"
792,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)"
787,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)"
786,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)"
544,Adequacy of social insurance programs (% of total welfare of beneficiary households)
742,Adequacy of social protection and labor programs (% of total welfare of beneficiary households)
731,Adequacy of social safety net programs (% of total welfare of beneficiary households)
739,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)
474,"Adjusted net enrollment rate, primary (% of primary school age children)"
473,"Adjusted net enrollment rate, primary, female (% of primary school age children)"
472,"Adjusted net enrollment rate, primary, male (% of primary school age children)"
1012,Adjusted net national income (annual % growth)
1013,Adjusted net national income (constant 2010 US$)
1014,Adjusted net national income (current US$)
1009,Adjusted net national income per capita (annual % growth)
1010,Adjusted net national income per capita (constant 2010 US$)
1011,Adjusted net national income per capita (current US$)
1005,"Adjusted net savings, excluding particulate emission damage (% of GNI)"
1006,"Adjusted net savings, excluding particulate emission damage (current US$)"
1007,"Adjusted net savings, including particulate emission damage (% of GNI)"
1008,"Adjusted net savings, including particulate emission damage (current US$)"
1149,Adjusted savings: carbon dioxide damage (% of GNI)
1150,Adjusted savings: carbon dioxide damage (current US$)
1145,Adjusted savings: consumption of fixed capital (% of GNI)
1146,Adjusted savings: consumption of fixed capital (current US$)
1151,Adjusted savings: education expenditure (% of GNI)
1152,Adjusted savings: education expenditure (current US$)
1141,Adjusted savings: energy depletion (% of GNI)
1142,Adjusted savings: energy depletion (current US$)
1017,Adjusted savings: gross savings (% of GNI)
1143,Adjusted savings: mineral depletion (% of GNI)
1144,Adjusted savings: mineral depletion (current US$)
1018,Adjusted savings: natural resources depletion (% of GNI)
1147,Adjusted savings: net forest depletion (% of GNI)
1148,Adjusted savings: net forest depletion (current US$)
1015,Adjusted savings: net national savings (% of GNI)
1016,Adjusted savings: net national savings (current US$)
1139,Adjusted savings: particulate emission damage (% of GNI)
1140,Adjusted savings: particulate emission damage (current US$)
715,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
273,Adolescents out of school (% of lower secondary school age)
275,"Adolescents out of school, female (% of female lower secondary school age)"
274,"Adolescents out of school, male (% of male lower secondary school age)"
66,Adults (ages 15+) and children (ages 0-14) newly infected with HIV
68,Adults (ages 15+) newly infected with HIV
448,Age dependency ratio (% of working-age population)
447,"Age dependency ratio, old (% of working-age population)"
446,"Age dependency ratio, young (% of working-age population)"
1582,Agricultural irrigated land (% of total agricultural land)
1595,Agricultural land (% of land area)
1596,Agricultural land (sq. km)
1599,"Agricultural machinery, tractors"
1577,"Agricultural machinery, tractors per 100 sq. km of arable land"
1196,Agricultural methane emissions (% of total)
1197,Agricultural methane emissions (thousand metric tons of CO2 equivalent)
1190,Agricultural nitrous oxide emissions (% of total)
1191,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)
34,Agricultural raw materials exports (% of merchandise exports)
214,Agricultural raw materials imports (% of merchandise imports)
1181,"Agriculture, forestry, and fishing, value added (% of GDP)"
1183,"Agriculture, forestry, and fishing, value added (annual % growth)"
1184,"Agriculture, forestry, and fishing, value added (constant 2010 US$)"
1182,"Agriculture, forestry, and fishing, value added (constant LCU)"
1185,"Agriculture, forestry, and fishing, value added (current LCU)"
1318,"Agriculture, forestry, and fishing, value added (current US$)"
1319,"Agriculture, forestry, and fishing, value added per worker (constant 2010 US$)"
138,"Air transport, freight (million ton-km)"
137,"Air transport, passengers carried"
139,"Air transport, registered carrier departures worldwide"
251,"All education staff compensation, primary (% of total expenditure in primary public institutions)"
250,"All education staff compensation, secondary (% of total expenditure in secondary public institutions)"
249,"All education staff compensation, tertiary (% of total expenditure in tertiary public institutions)"
248,"All education staff compensation, total (% of total expenditure in public institutions)"
1220,Alternative and nuclear energy (% of total energy use)
1027,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)"
1026,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)"
1025,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)"
1022,"Annual freshwater withdrawals, total (% of internal resources)"
1023,"Annual freshwater withdrawals, total (billion cubic meters)"
1273,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"
1271,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)"
69,Antiretroviral therapy coverage (% of people living with HIV)
64,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV)
1031,Aquaculture production (metric tons)
1592,Arable land (% of land area)
1593,Arable land (hectares per person)
1594,Arable land (hectares)
1535,Armed forces personnel (% of total labor force)
1536,"Armed forces personnel, total"
1530,Arms exports (SIPRI trend indicator values)
1537,Arms imports (SIPRI trend indicator values)
825,"Automated teller machines (ATMs) (per 100,000 adults)"
633,Average grace period on new external debt commitments (years)
632,"Average grace period on new external debt commitments, official (years)"
631,"Average grace period on new external debt commitments, private (years)"
630,Average grant element on new external debt commitments (%)
629,"Average grant element on new external debt commitments, official (%)"
628,"Average grant element on new external debt commitments, private (%)"
627,Average interest on new external debt commitments (%)
626,"Average interest on new external debt commitments, official (%)"
625,"Average interest on new external debt commitments, private (%)"
394,Average maturity on new external debt commitments (years)
393,"Average maturity on new external debt commitments, official (years)"
392,"Average maturity on new external debt commitments, private (years)"
1581,Average precipitation in depth (mm per year)
564,Average time to clear exports through customs (days)
1275,Average transaction cost of sending remittances from a specific country (%)
1276,Average transaction cost of sending remittances to a specific country (%)
951,"Average working hours of children, study and work, ages 7-14 (hours per week)"
955,"Average working hours of children, study and work, female, ages 7-14 (hours per week)"
953,"Average working hours of children, study and work, male, ages 7-14 (hours per week)"
945,"Average working hours of children, working only, ages 7-14 (hours per week)"
949,"Average working hours of children, working only, female, ages 7-14 (hours per week)"
947,"Average working hours of children, working only, male, ages 7-14 (hours per week)"
824,Bank capital to assets ratio (%)
819,Bank liquid reserves to bank assets ratio (%)
826,Bank nonperforming loans to total gross loans (%)
7,Battle-related deaths (number of people)
543,Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits)
741,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits)
730,Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits)
738,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits)
231,"Binding coverage, all products (%)"
412,"Binding coverage, manufactured products (%)"
223,"Binding coverage, primary products (%)"
1054,"Bird species, threatened"
710,"Birth rate, crude (per 1,000 people)"
1505,Births attended by skilled health staff (% of total)
822,"Borrowers from commercial banks (per 1,000 adults)"
230,"Bound rate, simple mean, all products (%)"
238,"Bound rate, simple mean, manufactured products (%)"
222,"Bound rate, simple mean, primary products (%)"
550,Bribery incidence (% of firms experiencing at least one bribe payment request)
808,Broad money (% of GDP)
809,Broad money (current LCU)
806,Broad money growth (annual %)
807,Broad money to total reserves ratio
141,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)"
571,Business extent of disclosure index (0=less disclosure to 10=more disclosure)
1211,CO2 emissions (kg per 2010 US$ of GDP)
1205,CO2 emissions (kg per 2011 PPP $ of GDP)
1206,CO2 emissions (kg per PPP $ of GDP)
1210,CO2 emissions (kt)
1207,CO2 emissions (metric tons per capita)
1049,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)"
1212,CO2 emissions from gaseous fuel consumption (% of total)
1213,CO2 emissions from gaseous fuel consumption (kt)
1208,CO2 emissions from liquid fuel consumption (% of total)
1209,CO2 emissions from liquid fuel consumption (kt)
1048,CO2 emissions from manufacturing industries and construction (% of total fuel combustion)
1047,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)"
1050,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)
1203,CO2 emissions from solid fuel consumption (% of total)
1204,CO2 emissions from solid fuel consumption (kt)
1046,CO2 emissions from transport (% of total fuel combustion)
1214,CO2 intensity (kg per kg of oil equivalent energy use)
158,CPIA building human resources rating (1=low to 6=high)
166,CPIA business regulatory environment rating (1=low to 6=high)
165,CPIA debt policy rating (1=low to 6=high)
164,CPIA economic management cluster average (1=low to 6=high)
150,CPIA efficiency of revenue mobilization rating (1=low to 6=high)
154,CPIA equity of public resource use rating (1=low to 6=high)
161,CPIA financial sector rating (1=low to 6=high)
160,CPIA fiscal policy rating (1=low to 6=high)
159,CPIA gender equality rating (1=low to 6=high)
156,CPIA macroeconomic management rating (1=low to 6=high)
149,CPIA policies for social inclusion/equity cluster average (1=low to 6=high)
163,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)
153,CPIA property rights and rule-based governance rating (1=low to 6=high)
151,CPIA public sector management and institutions cluster average (1=low to 6=high)
162,CPIA quality of budgetary and financial management rating (1=low to 6=high)
155,CPIA quality of public administration rating (1=low to 6=high)
152,CPIA social protection rating (1=low to 6=high)
148,CPIA structural policies cluster average (1=low to 6=high)
147,CPIA trade rating (1=low to 6=high)
146,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)"
1030,Capture fisheries production (metric tons)
93,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)"
91,"Cause of death, by injury (% of total)"
89,"Cause of death, by non-communicable diseases (% of total)"
780,"Central government debt, total (% of GDP)"
781,"Central government debt, total (current LCU)"
1576,Cereal production (metric tons)
1571,Cereal yield (kg per hectare)
1337,Changes in inventories (constant LCU)
1338,Changes in inventories (current LCU)
1339,Changes in inventories (current US$)
1563,"Charges for the use of intellectual property, payments (BoP, current US$)"
1432,"Charges for the use of intellectual property, receipts (BoP, current US$)"
1165,Chemicals (% of value added in manufacturing)
1268,Child employment in agriculture (% of economically active children ages 7-14)
1270,"Child employment in agriculture, female (% of female economically active children ages 7-14)"
1269,"Child employment in agriculture, male (% of male economically active children ages 7-14)"
1096,Child employment in manufacturing (% of economically active children ages 7-14)
1098,"Child employment in manufacturing, female (% of female economically active children ages 7-14)"
1097,"Child employment in manufacturing, male (% of male economically active children ages 7-14)"
1090,Child employment in services (% of economically active children ages 7-14)
1092,"Child employment in services, female (% of female economically active children ages 7-14)"
1091,"Child employment in services, male (% of male economically active children ages 7-14)"
72,Children (0-14) living with HIV
67,Children (ages 0-14) newly infected with HIV
957,"Children in employment, female (% of female children ages 7-14)"
956,"Children in employment, male (% of male children ages 7-14)"
1093,"Children in employment, self-employed (% of children in employment, ages 7-14)"
1095,"Children in employment, self-employed, female (% of female children in employment, ages 7-14)"
1094,"Children in employment, self-employed, male (% of male children in employment, ages 7-14)"
950,"Children in employment, study and work (% of children in employment, ages 7-14)"
954,"Children in employment, study and work, female (% of female children in employment, ages 7-14)"
952,"Children in employment, study and work, male (% of male children in employment, ages 7-14)"
943,"Children in employment, total (% of children ages 7-14)"
1109,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)"
1111,"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)"
1110,"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)"
725,"Children in employment, wage workers (% of children in employment, ages 7-14)"
887,"Children in employment, wage workers, female (% of female children in employment, ages 7-14)"
726,"Children in employment, wage workers, male (% of male children in employment, ages 7-14)"
944,"Children in employment, work only (% of children in employment, ages 7-14)"
948,"Children in employment, work only, female (% of female children in employment, ages 7-14)"
946,"Children in employment, work only, male (% of male children in employment, ages 7-14)"
321,Children out of school (% of primary school age)
324,"Children out of school, female (% of female primary school age)"
322,"Children out of school, male (% of male primary school age)"
326,"Children out of school, primary"
325,"Children out of school, primary, female"
323,"Children out of school, primary, male"
53,Children with fever receiving antimalarial drugs (% of children under age 5 with fever)
814,Claims on central government (annual growth as % of broad money)
797,"Claims on central government, etc. (% GDP)"
796,Claims on other sectors of the domestic economy (% of GDP)
813,Claims on other sectors of the domestic economy (annual growth as % of broad money)
810,Claims on private sector (annual growth as % of broad money)
1003,Coal rents (% of GDP)
1217,Combustible renewables and waste (% of total energy)
823,"Commercial bank branches (per 100,000 adults)"
184,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)"
12,Commercial service exports (current US$)
41,Commercial service imports (current US$)
873,"Commitments, IBRD (COM, current US$)"
872,"Commitments, IDA (COM, current US$)"
871,"Commitments, official creditors (COM, current US$)"
870,"Commitments, private creditors (COM, current US$)"
874,"Commitments, public and publicly guaranteed (COM, current US$)"
1438,"Communications, computer, etc. (% of service exports, BoP)"
1569,"Communications, computer, etc. (% of service imports, BoP)"
59,"Community health workers (per 1,000 people)"
593,Compensation of employees (% of expense)
594,Compensation of employees (current LCU)
433,Completeness of birth registration (%)
437,"Completeness of birth registration, female (%)"
436,"Completeness of birth registration, male (%)"
435,"Completeness of birth registration, rural (%)"
434,"Completeness of birth registration, urban (%)"
432,Completeness of death registration with cause-of-death information (%)
714,Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)
713,Completeness of total death reporting (% of reported total deaths to estimated total deaths)
528,"Compulsory education, duration (years)"
13,"Computer, communications and other services (% of commercial service exports)"
42,"Computer, communications and other services (% of commercial service imports)"
838,Concessional debt (% of total external debt)
96,"Condom use, population ages 15-24, female (% of females ages 15-24)"
95,"Condom use, population ages 15-24, male (% of males ages 15-24)"
805,Consumer price index (2010 = 100)
717,Consumption of iodized salt (% of households)
132,Container port traffic (TEU: 20 foot equivalent units)
707,"Contraceptive prevalence, any methods (% of women ages 15-49)"
708,"Contraceptive prevalence, modern methods (% of women ages 15-49)"
1108,"Contributing family workers, female (% of female employment) (modeled ILO estimate)"
1107,"Contributing family workers, male (% of male employment) (modeled ILO estimate)"
1106,"Contributing family workers, total (% of total employment) (modeled ILO estimate)"
354,Cost of business start-up procedures (% of GNI per capita)
356,"Cost of business start-up procedures, female (% of GNI per capita)"
355,"Cost of business start-up procedures, male (% of GNI per capita)"
559,Cost to export (US$ per container)
558,"Cost to export, border compliance (US$)"
557,"Cost to export, documentary compliance (US$)"
368,Cost to import (US$ per container)
367,"Cost to import, border compliance (US$)"
366,"Cost to import, documentary compliance (US$)"
542,Coverage of social insurance programs (% of population)
540,Coverage of social insurance programs in 2nd quintile (% of population)
539,Coverage of social insurance programs in 3rd quintile (% of population)
538,Coverage of social insurance programs in 4th quintile (% of population)
541,Coverage of social insurance programs in poorest quintile (% of population)
537,Coverage of social insurance programs in richest quintile (% of population)
740,Coverage of social protection and labor programs (% of population)
729,Coverage of social safety net programs (% of population)
727,Coverage of social safety net programs in 2nd quintile (% of population)
547,Coverage of social safety net programs in 3rd quintile (% of population)
546,Coverage of social safety net programs in 4th quintile (% of population)
728,Coverage of social safety net programs in poorest quintile (% of population)
545,Coverage of social safety net programs in richest quintile (% of population)
737,Coverage of unemployment benefits and ALMP (% of population)
735,Coverage of unemployment benefits and ALMP in 2nd quintile (% of population)
734,Coverage of unemployment benefits and ALMP in 3rd quintile (% of population)
733,Coverage of unemployment benefits and ALMP in 4th quintile (% of population)
736,Coverage of unemployment benefits and ALMP in poorest quintile (% of population)
732,Coverage of unemployment benefits and ALMP in richest quintile (% of population)
1575,Crop production index (2004-2006 = 100)
869,"Currency composition of PPG debt, Deutsche mark (%)"
868,"Currency composition of PPG debt, Euro (%)"
867,"Currency composition of PPG debt, French franc (%)"
866,"Currency composition of PPG debt, Japanese yen (%)"
865,"Currency composition of PPG debt, Multiple currencies (%)"
861,"Currency composition of PPG debt, Pound sterling (%)"
863,"Currency composition of PPG debt, SDR (%)"
862,"Currency composition of PPG debt, Swiss franc (%)"
860,"Currency composition of PPG debt, U.S. dollars (%)"
864,"Currency composition of PPG debt, all other currencies (%)"
1453,Current account balance (% of GDP)
1454,"Current account balance (BoP, current US$)"
255,"Current education expenditure, primary (% of total expenditure in primary public institutions)"
254,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)"
253,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)"
252,"Current education expenditure, total (% of total expenditure in public institutions)"
1313,Current health expenditure (% of GDP)
1312,Current health expenditure per capita (current US$)
1311,"Current health expenditure per capita, PPP (current international $)"
604,Customs and other import duties (% of tax revenue)
605,Customs and other import duties (current LCU)
749,DEC alternative conversion factor (LCU per US$)
709,"Death rate, crude (per 1,000 people)"
636,Debt buyback (current US$)
657,Debt forgiveness grants (current US$)
859,Debt forgiveness or reduction (current US$)
1377,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)"
1379,"Debt service on external debt, long-term (TDS, current US$)"
1378,"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)"
1376,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)"
1383,"Debt service on external debt, total (TDS, current US$)"
635,Debt stock reduction (current US$)
634,Debt stock rescheduled (current US$)
563,Delay in obtaining an electrical connection (days)
79,Demand for family planning satisfied by modern methods (% of married women with demand for family planning)
802,Deposit interest rate (%)
821,"Depositors with commercial banks (per 1,000 adults)"
567,Depth of credit information index (0=low to 8=high)
718,Depth of the food deficit (kilocalories per person per day)
1503,Diabetes prevalence (% of population ages 20 to 79)
1490,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)
1489,Diarrhea treatment (% of children under 5 who received ORS packet)
1053,Disaster risk reduction progress score (1-5 scale; 5=best)
854,"Disbursements on external debt, long-term (DIS, current US$)"
855,"Disbursements on external debt, long-term + IMF (DIS, current US$)"
853,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)"
852,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)"
997,Discrepancy in expenditure estimate of GDP (constant LCU)
998,Discrepancy in expenditure estimate of GDP (current LCU)
572,Distance to frontier score (0=lowest performance to 100=frontier)
556,Documents to export (number)
365,Documents to import (number)
795,Domestic credit provided by financial sector (% of GDP)
794,Domestic credit to private sector (% of GDP)
820,Domestic credit to private sector by banks (% of GDP)
1306,Domestic general government health expenditure (% of GDP)
1307,Domestic general government health expenditure (% of current health expenditure)
1305,Domestic general government health expenditure (% of general government expenditure)
1304,Domestic general government health expenditure per capita (current US$)
1303,"Domestic general government health expenditure per capita, PPP (current international $)"
1299,Domestic private health expenditure (% of current health expenditure)
1298,Domestic private health expenditure per capita (current US$)
1297,"Domestic private health expenditure per capita, PPP  (current international $)"
1051,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)"
189,"EBRD, private nonguaranteed (NFL, current US$)"
570,Ease of doing business index (1=most business-friendly regulations)
269,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)"
